,ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
6,2780650-20220516,2839285,424430,3,"MEHRAB MANAGEMENT, INC.",MEHRAB RESTAURANT,2437 W DEVON AVE,CHICAGO,IL,60659,50.0,,50-,,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2780650,RENEW,,03/15/2022,05/10/2022,N,05/16/2022,05/15/2024,05/10/2022,05/11/2022,AAI,,43.0,41.997597404,-87.691331516,"(41.99759740363999, -87.6913315163539)"
9,2818513-20220616,2844542,427773,2,MOVING UNITS INC.,MOVING UNITS INC.,4432 N KEDZIE AVE  104,CHICAGO,IL,60625,33.0,,33-,,1010,Limited Business License,668 | 904,Graphic Design and Consultation | Retail Sales of General Merchandise,2818513,RENEW,,04/15/2022,05/10/2022,N,06/16/2022,06/15/2024,05/10/2022,05/11/2022,AAI,,60.0,41.96218474,-87.708422754,"(41.962184740105535, -87.70842275378467)"
22,2780708-20220516,2839286,424430,4,"MEHRAB MANAGEMENT, INC.",CHACHA MACHLIWALA,6348 N ARTESIAN AVE,CHICAGO,IL,60659,50.0,,50-,,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2780708,RENEW,,03/15/2022,05/10/2022,N,05/16/2022,05/15/2024,05/10/2022,05/11/2022,AAI,,43.0,41.997334873,-87.691239617,"(41.997334872776214, -87.69123961702296)"
36,2212246-20220816,2853842,334772,2,MIGUEL ANGEL DUARTE-SOLIS,MIGUEL ANGEL DUARTE-SOLIS,5015 S DAMEN AVE 1ST,CHICAGO,IL,60609,15.0,15.0,15-15,9.0,4406,Peddler License,770,"Peddler (Over 65 Years of Age) - Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2212246,RENEW,,06/15/2022,08/08/2022,N,08/16/2022,08/15/2024,,08/08/2022,AAI,,,41.802569456,-87.674395755,"(41.802569455769735, -87.67439575456822)"
43,2846138-20220511,2846138,485652,1,SRX COMPOUNDING AND WELLNESS LLC,SRX COMPOUNDING AND WELLNESS,2450 W MONTROSE AVE,CHICAGO,IL,60618,47.0,,47-,,1010,Limited Business License,904,Retail Sales of General Merchandise,2846138,ISSUE,05/10/2022,05/10/2022,05/10/2022,N,05/11/2022,05/15/2024,05/10/2022,05/11/2022,AAI,,,41.961409498,-87.690658442,"(41.96140949818069, -87.6906584419477)"
46,2862597-20220808,2862597,487852,1,CC STOP SHOP DISCOUNT INC.,CC STOP SHOP DISCOUNT,15 S CICERO AVE,CHICAGO,IL,60644,28.0,,28-,11.0,1006,Retail Food Establishment,767 | 775 | 904,Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Retail Sales of General Merchandise,2862597,ISSUE,07/22/2022,07/22/2022,07/25/2022,N,08/08/2022,08/15/2024,08/05/2022,08/08/2022,AAI,,,41.879967095,-87.745113382,"(41.87996709490372, -87.74511338225935)"
47,2744511-20220816,2855928,468912,1,EDIFEL DESIGNS LLC,EDIFEL DESIGNS LLC,2414 W GRENSHAW ST 3 APT 3W,CHICAGO,IL,60612,28.0,,28-,,4404,Regulated Business License,719,Professional Consulting (Home Based Business),2744511,RENEW,,06/15/2022,08/06/2022,N,08/16/2022,08/15/2024,08/06/2022,08/08/2022,AAI,,,41.867624826,-87.686714144,"(41.86762482606775, -87.68671414420385)"
57,2600655-20220616,2844533,427731,1,THE GILDED LILY LLC,THE GILDED LILY LLC,2741 N SPAULDING AVE,CHICAGO,IL,60647,35.0,,35-,,1010,Limited Business License,144 | 894 | 904,"Hair, Nail, and Skin Care Services | Hair Services | Retail Sales of General Merchandise",2600655,RENEW,,04/15/2022,05/10/2022,N,06/16/2022,06/15/2024,05/10/2022,05/11/2022,AAI,,,41.931181349,-87.710140766,"(41.931181348538416, -87.71014076619093)"
65,2846265-20220511,2846265,485729,1,NIA JOELLA SMALLS,NIA JOELLA SMALLS,1824 S NORMAL AVE  1,CHICAGO,IL,60616,25.0,14.0,25-14,12.0,4406,Peddler License,819,"Street Performer, Moving Along the Public Way",2846265,ISSUE,05/11/2022,05/11/2022,05/11/2022,N,05/11/2022,05/15/2024,,05/11/2022,AAI,,,41.856870562,-87.64008662,"(41.856870561689185, -87.6400866203433)"
73,2863356-20220808,2863356,488440,1,NATHANIEL RICHARDSON,NATHANIEL RICHARDSON,6208 S SEELEY AVE,CHICAGO,IL,60636,16.0,3.0,16-3,7.0,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2863356,ISSUE,08/08/2022,08/08/2022,08/08/2022,N,08/08/2022,08/15/2024,,08/08/2022,AAI,,,41.780821374,-87.675302367,"(41.7808213737418, -87.67530236741163)"
